1	02d97e94cfeedca2a3da	1480 1
2	pokatoo	1320 1
3	Babar	841 1
4	hopeys	1002 1
5	ToThaMoon	1454 1
6	eclair	1002 1
7	Murray Rothbard	1152 1
8	BavarianLightningNode	1329 1
9	mojoaxel	1002 1
10	HTC_CON	46 1
11	SPICEFLOW	841 1 1041 1 1069 1 1454 1
12	BitcoinBielskoBiala	1002 1 1006 1
13	BTC.COM	841 1
14	02b646d30ed97b4e1a24	829 1
15	McQueen[LND]	1002 1 1457 1
16	FENERBAHCE.F.K	841 1
17	heliacal	1152 1
18	BavariaNode(474X)	841 1
19	pepesza	205 1
20	LasVegas	1384 1
21	OPEN.CHANNEL	1069 1
22	 BITSO 	1043 2 204 2
23	mandelduck	1011 1
24	MAX	1002 1
25	halfik	1384 1
26	Opcode	1494 1
27	NorthernLightning	1002 1
28	ODIN	1002 1
29	cryptocc.io	1494 1
30	bitcoinlightning	1002 1 1352 1 1454 1
31	bit.ly/coolHUB	1002 1
32	Raiden	1002 1 1495 1
33	ltnd	1002 1
34	OCCUPYWALLST	1002 1 1453 1 1454 1
35	cryptopolitics.global	1494 1
36	vivite liberi	1002 1
37	TargetSpecies	1494 1
38	cybor	1002 1
39	cybertide.com	841 1 1152 1 1158 1 1209 1 1216 1 1313 1 1453 1 1457 1 1480 1
40	Stadicus RaspiBolt	1453 1
41	XoolPay	1002 1
42	Lightningbtc	1002 1
43	Eagleman1969	1479 1
44	filippo	1002 1
45	BTC_	1362 1 1454 1 1472 1
46	Manchester	171 2 294 1 10 1 1495 2 1929 2 1423 2 2223 2 4910 2
47	03720411ee569f80c179	854 1
48	FCC2	1002 1
49	Cypher Core [LND]	1494 1 2051 1
50	glassmus	1494 1
51	harpydude	1494 1
52	cicekdagi	841 1 958 1 1152 1 1352 1 1384 1 1454 1 1459 1
53	E-PARA.NET	1209 1 1258 1 1283 1
54	freedomnode.com	1494 1
55	KittiesUnited	1470 1 1483 1
56	34_Bytes	1352 1
57	google	1494 1
58	CoinGate	1388 1 1466 1
59	HostYourNode (HYN)	1466 1 1479 1 1484 1 1485 1 1494 1 1500 1
60	NovumX.com	1002 1
61	SLEEPYARTIST-	1479 1 1494 1
62	Sybil	78 1 1362 1
63	browntown_BTC	828 1
64	Volantis Bridge	1466 1 1479 1 1494 1 1500 1
65	DarrWalk[LND]	1427 1 1465 1 1483 1
66	032b851aa5c18e767976	1313 1
67	Artilekt	1002 1
68	The Revolution	962 1
69	ln.99BTC.md	1494 1
70	ANGRYNET-016-11-21-2367-g5737853	1258 1
71	HumanPrimate	943 1 1388 1 2560 1
72	DigiMoney.online	1158 1 1454 1
73	ANGRYSET	1479 1
74	buryfarmer	1494 1
75	anonX	1002 1
76	RebelDinosaur [LND]	1362 1
77	CryptoWish	1454 1
78	dontconnect	62 1 1362 1 1495 1
79	SOMANYNODEMUCHWOW	1453 1
80	RedZell [LND]	1500 1
81	SPAIN [LND]	1152 1
82	hugahuga	1494 1
83	#RECKSPLORER	1500 1
84	THE_CONNECTOR	1002 1
85	02b22815ec7a6b0ce23d	1002 1
86	lightning-pay.eu	1494 1
87	CoolLighting	1002 1
88	kugelblitz	171 1 841 1 1362 1 1494 1
89	London-LN-Hub	1002 1 1466 1 1479 1 1494 1
90	CryptoInvestor	1362 1 1479 1
91	BitMEX	1494 1
92	Casimir	1152 1 1466 1
93	0274ef03632cfb45a628	1002 1
94	leppis	1479 1
95	clarence	841 1 1002 1 1031 1 1069 1 1320 1 1384 1 1459 1 1479 1 1480 1 1494 1
96	LightningGo	1152 1
97	cOunt_BiTula	1427 2 724 1 4558 1
98	dev1eclair	1494 1
99	JSkeezTheGreat	1002 1 1494 1
100	0258f3c375d6e2805db7	1002 1
101	JANUS52	1002 1
102	kademlia	2886 2 652 1 4337 2 1002 1 1454 1 1494 1 1495 1 1506 1
103	chupi	1495 2 1155 2 1300 2 1462 2 842 2 2007 2 1500 2 1484 2 2161 2 2560 2 1466 2 1344 2 2531 2 1678 2 1394 2 2080 2 1336 2 1423 2 1485 2 1494 2 2810 2 1377 2 1313 2 3188 2 1167 2 1345 2 676 2 3971 2 1341 2 1455 1 190 2 735 2 3495 2 3737 2 1002 2 1470 2 4847 2
104	hannibal-the-second-02	1217 1
105	hormhockle	1466 1
106	Sagittarius A*	1494 1
107	cpt	1453 1
108	_Winterfell_	1453 1
109	lightningspin.com	432 1 1072 1 1152 1 1159 1 1320 1 1362 1 1486 1 1494 1 1500 1
110	Mirai	1466 1 1500 1
111	PerpetualSummer.ltd	1494 1
112	lolinternets	1427 2
113	Gangsta-Lite	1362 1 1494 1
114	Jack	1494 1
115	AMSTERDAMBTC	1159 1
116	ifaxx	1258 1 1466 1
117	hoverlord [LND]	1479 1
118	ribeye	1384 1
119	CoinMelon	1459 1 1479 1
120	FreedomForever	1352 1
121	Major Arcana	1011 1 1362 1 1494 1
122	02e3f90036443136f5e0	1453 1
123	BUE.ARG	1494 1
124	LetThereBeLightning!	1384 1
125	Raphalight	1494 1 1500 1
126	StrangerDanger	1466 2 3495 2 1499 1 2168 1
127	025eabf4007c4aa22bac	1453 1
128	LightningStormBerlin	1313 1 1479 1
129	ELYRIA	1258 1 1494 1
130	QUICKENING	1336 1 1500 1
131	mocacinno	1485 2 1483 2 1495 2 1303 2 2144 2 3511 2 1306 2 1441 2 3006 2 2979 2 3495 2
132	SMOZER	1384 1 1466 1 1500 1
133	main2.btcpayserver	1500 1
134	BLUESET	1405 1
135	BB2K18	1002 1
136	ShinjukuCatDragons	1216 1
137	FirstBlockCapital	687 1 841 1 949 1 958 1 1043 1 1141 1 1172 1 1184 1 1261 1 1303 1 1306 1 1320 1 1329 1 1352 1 1384 1 1388 1 1394 1 1423 1 1424 1 1427 1 1462 1 1465 1 1466 1 1467 1 1472 1 1479 1 1483 1 1494 1 1495 1 1500 1
138	baobao	1338 1
139	eclair	1466 1
140	MUA	1453 1
141	forked_lightning	893 1 1025 1 2394 1
142	LNCampoo	1011 1
143	0362bc1141ed558a646c	829 1 1002 1 1306 1 1338 1 1479 1
144	Cosmigonon	1494 1
145	bitcoinsupermarkt.de	1500 1
146	SLIMYRAGE-	1002 1
147	ASGARDAS	1320 1 1494 1
148	ln1.kosmos.org	1465 2 1394 2 1172 2 205 2 1305 2 1466 2 1306 2 171 2 3188 2 3642 2 1194 2 3495 2 1850 2
149	btc.usui.net	1466 1
